date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:51:35	10475/10475	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Feb%202017%2007:21:37%20GMT	http://html.themedemo.co/wedding/rsvp.html	G:/TorrentDownloads/Invitation/Invitation/html.themedemo.co/wedding/rsvp.html	(from http://html.themedemo.co/wedding/)
19:51:36	26983/26983	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Feb%202017%2010:01:12%20GMT	http://html.themedemo.co/wedding/img/about-he.jpg	G:/TorrentDownloads/Invitation/Invitation/html.themedemo.co/wedding/img/about-he.jpg	(from http://html.themedemo.co/wedding/)
19:51:39	29046/29046	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Feb%202017%2010:01:12%20GMT	http://html.themedemo.co/wedding/img/about-she.jpg	G:/TorrentDownloads/Invitation/Invitation/html.themedemo.co/wedding/img/about-she.jpg	(from http://html.themedemo.co/wedding/)
19:51:40	21729/21729	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Feb%202017%2010:01:13%20GMT	http://html.themedemo.co/wedding/img/gallery/img-2.jpg	G:/TorrentDownloads/Invitation/Invitation/html.themedemo.co/wedding/img/gallery/img-2.jpg	(from http://html.themedemo.co/wedding/)
19:51:42	37554/37554	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Feb%202017%2010:01:14%20GMT	http://html.themedemo.co/wedding/img/video-tmb.jpg	G:/TorrentDownloads/Invitation/Invitation/html.themedemo.co/wedding/img/video-tmb.jpg	(from http://html.themedemo.co/wedding/)
19:51:44	19173/19173	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Feb%202017%2010:01:13%20GMT	http://html.themedemo.co/wedding/img/gallery/img-6.jpg	G:/TorrentDownloads/Invitation/Invitation/html.themedemo.co/wedding/img/gallery/img-6.jpg	(from http://html.themedemo.co/wedding/)
19:51:45	40056/40056	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Feb%202017%2010:01:13%20GMT	http://html.themedemo.co/wedding/img/gallery/img-4.jpg	G:/TorrentDownloads/Invitation/Invitation/html.themedemo.co/wedding/img/gallery/img-4.jpg	(from http://html.themedemo.co/wedding/)
19:51:46	21703/21703	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Feb%202017%2010:01:13%20GMT	http://html.themedemo.co/wedding/img/gallery/img-1.jpg	G:/TorrentDownloads/Invitation/Invitation/html.themedemo.co/wedding/img/gallery/img-1.jpg	(from http://html.themedemo.co/wedding/)
19:51:52	37376/37376	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Feb%202017%2010:01:13%20GMT	http://html.themedemo.co/wedding/img/place-1.jpg	G:/TorrentDownloads/Invitation/Invitation/html.themedemo.co/wedding/img/place-1.jpg	(from http://html.themedemo.co/wedding/)
19:51:53	57530/57530	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Feb%202017%2010:01:13%20GMT	http://html.themedemo.co/wedding/img/gallery/img-9.jpg	G:/TorrentDownloads/Invitation/Invitation/html.themedemo.co/wedding/img/gallery/img-9.jpg	(from http://html.themedemo.co/wedding/)
19:51:53	42792/42792	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Feb%202017%2010:01:12%20GMT	http://html.themedemo.co/wedding/img/friends/male-1.png	G:/TorrentDownloads/Invitation/Invitation/html.themedemo.co/wedding/img/friends/male-1.png	(from http://html.themedemo.co/wedding/)
19:51:55	1419/1419	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Feb%202017%2010:01:13%20GMT	http://html.themedemo.co/wedding/img/logos/logo-1.png	G:/TorrentDownloads/Invitation/Invitation/html.themedemo.co/wedding/img/logos/logo-1.png	(from http://html.themedemo.co/wedding/)
19:51:55	1632/1632	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Feb%202017%2010:01:13%20GMT	http://html.themedemo.co/wedding/img/logos/logo-2.png	G:/TorrentDownloads/Invitation/Invitation/html.themedemo.co/wedding/img/logos/logo-2.png	(from http://html.themedemo.co/wedding/)
19:51:56	1986/1986	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Feb%202017%2010:01:13%20GMT	http://html.themedemo.co/wedding/img/logos/logo-3.png	G:/TorrentDownloads/Invitation/Invitation/html.themedemo.co/wedding/img/logos/logo-3.png	(from http://html.themedemo.co/wedding/)
19:51:56	1292/1292	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Feb%202017%2010:01:13%20GMT	http://html.themedemo.co/wedding/img/logos/logo-4.png	G:/TorrentDownloads/Invitation/Invitation/html.themedemo.co/wedding/img/logos/logo-4.png	(from http://html.themedemo.co/wedding/)
19:51:56	1193/1193	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Feb%202017%2010:01:13%20GMT	http://html.themedemo.co/wedding/img/logos/logo-5.png	G:/TorrentDownloads/Invitation/Invitation/html.themedemo.co/wedding/img/logos/logo-5.png	(from http://html.themedemo.co/wedding/)
19:51:56	1589/1589	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Feb%202017%2010:01:13%20GMT	http://html.themedemo.co/wedding/img/logos/logo-6.png	G:/TorrentDownloads/Invitation/Invitation/html.themedemo.co/wedding/img/logos/logo-6.png	(from http://html.themedemo.co/wedding/)
19:51:57	167059/167059	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Feb%202017%2010:01:12%20GMT	http://html.themedemo.co/wedding/img/bg/video.jpg	G:/TorrentDownloads/Invitation/Invitation/html.themedemo.co/wedding/img/bg/video.jpg	(from http://html.themedemo.co/wedding/)
19:51:58	8805/8805	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Feb%202017%2010:01:12%20GMT	http://html.themedemo.co/wedding/img/decorations/form-decoration.png	G:/TorrentDownloads/Invitation/Invitation/html.themedemo.co/wedding/img/decorations/form-decoration.png	(from http://html.themedemo.co/wedding/)
19:52:00	20565/20565	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Feb%202017%2010:01:13%20GMT	http://html.themedemo.co/wedding/img/posts/post-1.jpg	G:/TorrentDownloads/Invitation/Invitation/html.themedemo.co/wedding/img/posts/post-1.jpg	(from http://html.themedemo.co/wedding/)
19:52:01	1797/1797	---M-Z	200	added ('OK')	application/x-javascript		http://html.themedemo.co/wedding/js/jquery-2.2.3.min.js	G:/TorrentDownloads/Invitation/Invitation/html.themedemo.co/wedding/js/jquery-2.2.3.min.js	(from http://html.themedemo.co/wedding/)
19:52:02	9177/9177	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2009%20Feb%202017%2010:01:14%20GMT	http://html.themedemo.co/wedding/js/modernizr.custom.js	G:/TorrentDownloads/Invitation/Invitation/html.themedemo.co/wedding/js/modernizr.custom.js	(from http://html.themedemo.co/wedding/)
19:52:03	7331/7331	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2009%20Feb%202017%2010:01:14%20GMT	http://html.themedemo.co/wedding/js/jquery.dlmenu.js	G:/TorrentDownloads/Invitation/Invitation/html.themedemo.co/wedding/js/jquery.dlmenu.js	(from http://html.themedemo.co/wedding/)
19:52:04	36863/36863	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Feb%202017%2010:01:13%20GMT	http://html.themedemo.co/wedding/img/posts/post-3.jpg	G:/TorrentDownloads/Invitation/Invitation/html.themedemo.co/wedding/img/posts/post-3.jpg	(from http://html.themedemo.co/wedding/)
19:52:05	34541/34541	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2009%20Feb%202017%2010:01:14%20GMT	http://html.themedemo.co/wedding/js/isotope.pkgd.min.js	G:/TorrentDownloads/Invitation/Invitation/html.themedemo.co/wedding/js/isotope.pkgd.min.js	(from http://html.themedemo.co/wedding/)
19:52:05	11167/11167	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2009%20Feb%202017%2010:01:14%20GMT	http://html.themedemo.co/wedding/js/jquery.knob.js	G:/TorrentDownloads/Invitation/Invitation/html.themedemo.co/wedding/js/jquery.knob.js	(from http://html.themedemo.co/wedding/)
19:52:06	3369/3369	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2009%20Feb%202017%2010:01:14%20GMT	http://html.themedemo.co/wedding/js/jquery.matchHeight-min.js	G:/TorrentDownloads/Invitation/Invitation/html.themedemo.co/wedding/js/jquery.matchHeight-min.js	(from http://html.themedemo.co/wedding/)
19:52:07	44399/44399	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2009%20Feb%202017%2010:01:14%20GMT	http://html.themedemo.co/wedding/js/idangerous.swiper.min.js	G:/TorrentDownloads/Invitation/Invitation/html.themedemo.co/wedding/js/idangerous.swiper.min.js	(from http://html.themedemo.co/wedding/)
19:52:08	20219/20219	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2009%20Feb%202017%2010:01:14%20GMT	http://html.themedemo.co/wedding/js/jquery.magnific-popup.min.js	G:/TorrentDownloads/Invitation/Invitation/html.themedemo.co/wedding/js/jquery.magnific-popup.min.js	(from http://html.themedemo.co/wedding/)
19:52:08	706/706	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2027%20Mar%202020%2014:22:14%20GMT	http://html.themedemo.co/wedding/fonts/glyphicons-halflings-regular.eot?	G:/TorrentDownloads/Invitation/Invitation/html.themedemo.co/wedding/fonts/glyphicons-halflings-regular.45d41d.delayed	(from http://html.themedemo.co/wedding/css/bootstrap.min.css)
19:52:09	706/706	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2027%20Mar%202020%2014:22:14%20GMT	http://html.themedemo.co/wedding/fonts/glyphicons-halflings-regular.woff2	G:/TorrentDownloads/Invitation/Invitation/html.themedemo.co/wedding/fonts/glyphicons-halflings-regular.woff2	(from http://html.themedemo.co/wedding/css/bootstrap.min.css)
19:52:09	706/706	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2027%20Mar%202020%2014:22:14%20GMT	http://html.themedemo.co/wedding/fonts/glyphicons-halflings-regular.woff	G:/TorrentDownloads/Invitation/Invitation/html.themedemo.co/wedding/fonts/glyphicons-halflings-regular.woff	(from http://html.themedemo.co/wedding/css/bootstrap.min.css)
19:52:09	706/706	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2027%20Mar%202020%2014:22:15%20GMT	http://html.themedemo.co/wedding/fonts/glyphicons-halflings-regular.ttf	G:/TorrentDownloads/Invitation/Invitation/html.themedemo.co/wedding/fonts/glyphicons-halflings-regular.ttf	(from http://html.themedemo.co/wedding/css/bootstrap.min.css)
19:52:10	706/706	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2027%20Mar%202020%2014:22:15%20GMT	http://html.themedemo.co/wedding/fonts/glyphicons-halflings-regular.svg	G:/TorrentDownloads/Invitation/Invitation/html.themedemo.co/wedding/fonts/glyphicons-halflings-regular.svg	(from http://html.themedemo.co/wedding/css/bootstrap.min.css)
19:52:10	29067/29067	---M-Z	200	added ('OK')	text/css	date:Thu,%2009%20Feb%202017%2010:01:11%20GMT	http://html.themedemo.co/wedding/css/font-awesome.min.css	G:/TorrentDownloads/Invitation/Invitation/html.themedemo.co/wedding/css/font-awesome.min.css	(from http://html.themedemo.co/wedding/)
19:52:10	1231/1231	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Feb%202017%2010:01:12%20GMT	http://html.themedemo.co/wedding/img/decorations/title-separator.png	G:/TorrentDownloads/Invitation/Invitation/html.themedemo.co/wedding/img/decorations/title-separator.png	(from http://html.themedemo.co/wedding/css/style.css)
